Wall time,Step,Value
1688380716.600603,5,0.0
1688380826.967808,19,0.0
1688380999.642489,41,0.0
1688381054.737038,48,0.0
1688381062.610519,49,0.0
1688381172.25156,63,0.0
1688381180.113303,64,0.0
1688381211.650062,68,0.0
1688381243.32164,72,0.0
1688381289.019628,78,0.0
1688381327.278619,83,0.0
1688381380.366415,90,0.0
1688381456.066449,100,0.0
1688381486.471431,104,0.0
1688381516.601082,108,0.0
1688381623.073724,122,0.0
1688381653.374285,126,0.0
1688381661.050584,127,0.0
1688381676.28014,129,0.0
1688381691.430991,131,0.0
1688381798.294037,145,0.0
1688381821.302997,148,0.0
1688381897.659874,158,0.0
1688381920.266808,161,0.0
1688381935.633717,163,0.0
1688381950.802553,165,0.0
1688382011.370952,173,0.0
1688382049.176972,178,0.0
1688382155.295205,192,0.0
1688382245.956315,204,0.0
1688382261.274661,206,0.0
1688382322.257247,214,0.0
1688382444.466362,230,0.0
1688382557.398875,245,0.0
1688382565.067801,246,0.0
1688382663.757324,259,0.0
1688382671.317631,260,0.0
1688382762.764643,272,0.0
1688382785.524342,275,0.0
1688382846.154783,283,0.0
1688382869.122625,286,0.0
1688382945.108769,296,0.0
1688383044.001583,309,0.0
1688383104.925724,317,0.0
1688383127.479132,320,0.0
1688383150.045016,323,0.0
1688383325.834471,346,0.0
1688383333.455018,347,0.0
1688383424.703588,359,0.0
1688383470.143225,365,0.0
1688383485.44056,367,0.0
1688383576.968639,379,0.0
1688383637.815165,387,0.0
1688383668.545869,391,0.0
1688383683.498645,393,0.0
1688383759.626179,403,0.0
1688383774.974852,405,0.0
1688383858.481735,416,0.0
1688383912.633921,423,0.0
1688384018.72156,437,0.0
1688384026.354759,438,0.0
1688384041.473599,440,0.0
1688384094.784692,447,0.0
1688384209.042226,462,0.0
1688384239.328357,466,0.0
1688384307.679606,475,0.0
1688384315.257783,476,0.0
1688384353.514791,481,0.0
1688384361.164747,482,0.0
1688384406.981895,488,0.0
1688384581.879919,511,0.0
1688384597.279524,513,0.0
1688384604.87128,514,0.0
1688384612.510554,515,0.0
1688384635.241169,518,0.0
1688384650.301639,520,0.0
1688384756.721347,534,0.0
1688384764.257734,535,0.0
1688384779.421914,537,0.0
1688384794.775984,539,0.0
1688384809.942837,541,0.0
1688384840.359661,545,0.0
1688384855.608927,547,0.0
1688384901.759466,553,0.0
1688384932.062934,557,0.0
1688384978.17591,563,0.0
1688384993.41395,565,0.0
1688385023.954398,569,0.0
1688385145.867819,585,0.0
1688385191.408988,591,0.0
1688385221.960652,595,0.0
1688385237.25393,597,0.0
1688385374.591372,615,0.0
1688385443.76681,624,0.0
1688385481.898966,629,0.0
1688385489.391484,630,0.0
1688385550.287481,638,0.009999999776482582
1688385596.099864,644,0.029999999329447746
1688385603.656249,645,0.029999999329447746
1688385710.158989,659,0.10000000149011612
1688385778.763649,668,0.15000000596046448
1688385839.761123,676,0.15000000596046448
1688385847.374415,677,0.15000000596046448
1688385969.400885,693,0.20000000298023224
1688385984.833697,695,0.23000000417232513
1688386190.719352,722,0.18000000715255737
1688386220.910947,726,0.1599999964237213
1688386243.726573,729,0.17000000178813934
1688386266.460482,732,0.1599999964237213
1688386365.946897,745,0.25999999046325684
1688386518.68952,765,0.27000001072883606
1688386602.814673,776,0.3199999928474426
1688386610.334099,777,0.3199999928474426
1688386655.990348,783,0.41999998688697815
1688386701.815966,789,0.5600000023841858
1688386824.106746,805,0.8700000047683716
1688386831.90582,806,0.8700000047683716
1688386847.159869,808,0.8700000047683716
1688386938.70244,820,0.8399999737739563
1688387038.247922,833,0.699999988079071
1688387229.168822,858,0.03999999910593033
1688387297.810243,867,0.009999999776482582
1688387336.112713,872,0.009999999776482582
1688387451.299128,887,0.0
1688387535.507172,898,0.0
1688387565.784539,902,0.0
1688387787.877449,931,0.0
1688387803.014511,933,0.0
1688387879.765944,943,0.0
1688387933.53319,950,0.0
1688388040.143595,964,0.0
1688388316.189656,1000,0.0
1688388339.205274,1003,0.0
1688388354.507521,1005,0.0
1688388438.957073,1016,0.0
1688388493.238795,1023,0.0
1688388524.631803,1027,0.0
1688388540.298224,1029,0.0
1688388610.340018,1038,0.0
1688388758.088141,1057,0.0
1688388865.12216,1071,0.0
1688388872.900477,1072,0.0
1688388888.179691,1074,0.0
1688388919.468186,1078,0.0
1688388989.369098,1087,0.0
1688389081.740289,1099,0.0
1688389112.382674,1103,0.0
1688389127.905858,1105,0.0
1688389151.240359,1108,0.0
1688389166.351531,1110,0.0
1688389181.847982,1112,0.0
1688389259.339821,1122,0.0
1688389290.220627,1126,0.0
1688389344.847033,1133,0.019999999552965164
1688389360.309025,1135,0.019999999552965164
1688389399.387862,1140,0.03999999910593033
1688389453.550439,1147,0.10999999940395355
1688389491.693352,1152,0.49000000953674316
1688389499.369068,1153,0.5299999713897705
1688389591.72357,1165,1.340000033378601
1688389668.905804,1175,2.140000104904175
1688389684.22582,1177,2.200000047683716
1688389691.942123,1178,2.1700000762939453
1688389745.974806,1185,2.299999952316284
1688389814.749085,1194,2.2100000381469727
1688389822.591716,1195,2.180000066757202
1688389979.334322,1215,2.4000000953674316
1688390013.691279,1219,2.5
1688390071.334028,1226,2.549999952316284
1688390240.44551,1247,2.4000000953674316
1688390279.452589,1252,2.009999990463257
1688390287.573665,1253,2.0199999809265137
1688390303.264139,1255,1.9500000476837158
1688390327.110258,1258,1.9500000476837158
1688390358.474559,1262,1.75
1688390405.789891,1268,1.7999999523162842
1688390437.644047,1272,1.840000033378601
1688390478.035447,1277,1.8600000143051147
1688390525.643175,1283,2.140000104904175
1688390589.593175,1291,2.200000047683716
1688390652.180211,1299,2.1500000953674316
1688390714.845229,1307,2.299999952316284
1688390786.367699,1316,2.180000066757202
1688390841.190646,1323,2.109999895095825
1688390864.496735,1326,2.0999999046325684
1688390872.223584,1327,2.130000114440918
1688391020.456121,1346,2.9100000858306885
1688391139.098614,1361,3.049999952316284
1688391171.892192,1365,2.930000066757202
1688391260.902546,1376,2.759999990463257
1688391269.513594,1377,2.8299999237060547
1688391302.202637,1381,2.880000114440918
1688391598.684436,1418,2.630000114440918
1688391760.294083,1439,2.5
1688391767.98284,1440,2.5899999141693115
1688391906.290685,1458,2.9600000381469727
1688391913.955722,1459,3.009999990463257
1688391937.015404,1462,3.0
1688392036.514531,1475,2.9700000286102295
1688392051.853784,1477,2.950000047683716
1688392136.349787,1488,3.009999990463257
1688392159.172001,1491,3.0199999809265137
1688392189.942034,1495,2.990000009536743
1688392251.618766,1503,3.0999999046325684
1688392305.531362,1510,3.200000047683716
1688392313.219485,1511,3.190000057220459
1688392336.230022,1514,3.0799999237060547
1688392359.060768,1517,3.049999952316284
1688392450.780298,1529,2.8399999141693115
1688392527.665463,1539,2.390000104904175
1688392604.406036,1549,2.2699999809265137
1688392627.843567,1552,2.299999952316284
1688392735.260257,1566,2.359999895095825
1688392758.367304,1569,2.4700000286102295
1688392796.691602,1574,2.6700000762939453
1688392819.524878,1577,2.75
1688392890.956258,1586,3.0999999046325684
1688392977.813354,1597,3.190000057220459
1688393017.358312,1602,3.109999895095825
1688393033.25428,1604,3.0
1688393222.807675,1628,2.309999942779541
1688393286.09214,1636,2.509999990463257
1688393301.884738,1638,2.6600000858306885
1688393380.721081,1648,2.869999885559082
1688393435.840689,1655,3.0
1688393561.586619,1671,3.3499999046325684
1688393616.493973,1678,3.4700000286102295
1688393631.894987,1680,3.549999952316284
1688393677.830452,1686,3.569999933242798
1688393746.588234,1695,3.2200000286102295
1688393808.617823,1703,2.9100000858306885
1688393823.944663,1705,2.940000057220459
1688393847.286933,1708,2.940000057220459
1688393870.302241,1711,2.9000000953674316
1688393877.936792,1712,2.9600000381469727
1688393931.600028,1719,2.7300000190734863
1688393969.630494,1724,2.7899999618530273
1688394023.620915,1731,3.130000114440918
1688394094.637648,1740,3.0799999237060547
1688394141.792614,1746,3.259999990463257
1688394211.924124,1755,3.3299999237060547
1688394374.319979,1776,3.5399999618530273
1688394389.66313,1778,3.4200000762939453
1688394482.959112,1790,3.4000000953674316
1688394505.931333,1793,3.5899999141693115
1688394567.815954,1801,3.630000114440918
1688394715.383037,1820,3.7100000381469727
1688394933.074745,1848,3.869999885559082
1688394963.790981,1852,3.859999895095825
1688395033.3838,1861,3.7100000381469727
1688395071.331635,1866,3.5199999809265137
1688395086.882837,1868,3.4000000953674316
1688395248.456688,1889,3.069999933242798
1688395332.528281,1900,3.4100000858306885
1688395355.680902,1903,3.299999952316284
1688395402.042855,1909,3.4000000953674316
1688395409.875529,1910,3.390000104904175
1688395525.490941,1925,3.7200000286102295
1688395533.210834,1926,3.7699999809265137
1688395617.479548,1937,3.7200000286102295
1688395648.272769,1941,3.680000066757202
1688395686.859154,1946,3.740000009536743
1688395702.201684,1948,3.7100000381469727
1688395802.518643,1961,3.4700000286102295
1688395810.225719,1962,3.4100000858306885
1688395825.316183,1964,3.440000057220459
1688395832.879983,1965,3.440000057220459
1688395848.254109,1967,3.5399999618530273
1688395933.205549,1978,3.740000009536743
1688395948.90212,1980,3.7699999809265137
1688396011.291945,1988,3.819999933242798
1688396018.932154,1989,3.75
1688396653.822627,2071,3.75
1688396722.541201,2080,3.75
1688396799.214728,2090,3.890000104904175
1688396883.618541,2101,4.010000228881836
1688396906.746724,2104,3.950000047683716
1688396952.652594,2110,4.150000095367432
1688396991.698807,2115,4.179999828338623
1688396999.382407,2116,4.179999828338623
1688397029.91545,2120,4.170000076293945
1688397037.537149,2121,4.119999885559082
1688397091.767752,2128,4.170000076293945
1688397184.138464,2140,4.239999771118164
1688397414.517062,2170,4.170000076293945
1688397553.2101,2188,4.269999980926514
1688397607.022993,2195,3.950000047683716
1688397723.013602,2210,4.170000076293945
1688397768.818902,2216,4.21999979019165
1688397845.741547,2226,4.440000057220459
1688397930.108374,2237,4.320000171661377
1688397953.207512,2240,4.449999809265137
1688397991.487338,2245,4.300000190734863
1688398091.426425,2258,4.03000020980835
1688398278.359131,2282,3.700000047683716
1688398468.375944,2306,4.539999961853027
1688398555.473598,2317,4.71999979019165
1688398579.330749,2320,4.900000095367432
1688398618.925224,2325,4.909999847412109
1688398681.962837,2333,5.010000228881836
1688398761.44372,2343,4.929999828338623
1688398840.610581,2353,5.070000171661377
1688398894.291138,2360,5.039999961853027
1688399125.492678,2390,5.130000114440918
1688399156.129216,2394,5.03000020980835
1688399163.866815,2395,5.039999961853027
1688399194.085599,2399,5.039999961853027
1688399494.543485,2437,4.619999885559082
1688399534.290311,2442,4.739999771118164
1688399637.496259,2455,4.739999771118164
1688399700.887181,2463,4.71999979019165
1688399724.659886,2466,4.789999961853027
1688399883.676103,2486,4.78000020980835
1688399947.124748,2494,4.75
1688399986.947625,2499,4.610000133514404
1688400026.856154,2504,4.559999942779541
