Wall time,Step,Value
1688569253.912369,5,-0.0018522244645282626
1688569277.700872,19,-0.0013919019838795066
1688569314.270964,41,0.15145669877529144
1688569326.437027,48,0.1790688931941986
1688569328.100034,49,0.15349680185317993
1688569352.127508,63,0.6364717483520508
1688569353.95819,64,0.23323458433151245
1688569367.513162,72,0.6547958850860596
1688569377.691297,78,0.4935007691383362
1688569386.295757,83,0.48335617780685425
1688569398.148455,90,0.868561863899231
1688569421.999693,104,0.7307469844818115
1688569429.083122,108,0.6461458802223206
1688569453.213294,122,0.9076087474822998
1688569465.365013,129,0.17048567533493042
1688569468.679107,131,0.7238764762878418
1688569514.855326,158,0.9015522599220276
1688569520.101704,161,0.33756956458091736
1688569523.545197,163,0.746464729309082
1688569526.867794,165,0.9873067140579224
1688569540.477901,173,0.8428924679756165
1688569572.693479,192,0.6414577960968018
1688569592.748188,204,0.8260811567306519
1688569596.114211,206,1.0635852813720703
1688569635.425463,230,0.7675513625144958
1688569660.387873,245,1.0444226264953613
1688569661.915144,246,0.9462486505508423
1688569685.192633,260,0.7680612802505493
1688569705.069548,272,0.5776594877243042
1688569709.757496,275,0.9541344046592712
1688569723.268096,283,1.3459069728851318
1688569728.322274,286,1.2768361568450928
1688569745.164138,296,0.9787744283676147
1688569780.362392,317,1.1479895114898682
1688569785.429959,320,0.6798089742660522
1688569790.163199,323,0.8519473075866699
1688569829.998784,347,1.3215395212173462
1688569850.40291,359,0.8747850656509399
1688569860.952908,365,1.026248574256897
1688569864.432039,367,1.1166982650756836
1688569885.019282,379,1.2941768169403076
1688569898.97186,387,0.8311636447906494
1688569905.775733,391,0.9812799096107483
1688569926.635937,403,0.7106087803840637
1688569929.880804,405,0.9682540893554688
1688569948.983852,416,0.6617374420166016
1688569960.382649,423,0.8621442317962646
1688569985.205861,437,0.9151195883750916
1688569987.029842,438,0.9639807939529419
1688569990.511251,440,1.064394474029541
1688570002.979499,447,0.9960129857063293
1688570029.449074,462,1.1353249549865723
1688570036.497055,466,1.0356779098510742
1688570053.904733,476,1.219619870185852
1688570062.918413,481,0.8477855920791626
1688570064.606654,482,0.9647202491760254
1688570074.861219,488,1.0669190883636475
1688570113.330881,511,1.1582629680633545
1688570116.961701,513,1.0466136932373047
1688570118.545727,514,1.1264958381652832
1688570125.15236,518,0.8727000951766968
1688570151.160205,534,0.9238709807395935
1688570156.237659,537,1.149735689163208
1688570159.640849,539,1.2462012767791748
1688570162.966104,541,1.0752240419387817
1688570183.067791,553,1.1697568893432617
